Events CW1&2,Events CW1&2&3,Temperature[C],Pressure[Pa],Date[MM/DD/YYYY],RTC[H:M:S EST],Timer[S],Latitude,Longitude,Altitude[m],Sats,Accel x,Accel y,Accel z,Gyro x,Gyro y,Gyro z,Mag x,Mag y,Mag z,Battery[]
1,0,24.91,98433.19,5/31/2026,22:5:47.419,7.350585,0.00000,0.00000,0.00,0,-0.26800,7.60080,-6.06700,0.00733,-0.04154,-0.00489,-73.64806,54.86699,-37.86904,88
2,0,24.92,98435.75,5/31/2026,22:5:48.265,7.747070,0.00000,0.00000,0.00,0,-0.27876,7.61277,-6.09213,0.10751,-0.03910,-0.00733,-73.00497,54.06314,-38.64367,88
3,0,24.94,98435.77,5/31/2026,22:5:48.607,8.406250,0.00000,0.00000,0.00,0,-0.21655,7.73121,-6.01197,0.02932,-0.04276,-0.00489,-73.06343,53.42005,-38.39521,88
4,0,24.95,98438.43,5/31/2026,22:5:48.866,8.665039,0.00000,0.00000,0.00,0,-0.22493,7.52782,-6.13280,0.10873,-0.03910,-0.00489,-72.71265,54.00468,-37.15288,88
4,1,24.95,98438.43,5/31/2026,22:5:48.866,8.670898,0.00000,0.00000,0.00,0,-0.22493,7.52782,-6.13280,0.10873,-0.03910,-0.00489,-72.71265,54.00468,-37.15288,88
5,1,25.02,98436.73,5/31/2026,22:5:55.073,14.366210,40.65044,-78.01741,332.20,8,-0.26919,7.71207,-5.90190,-0.03665,-0.04154,-0.00611,-70.54955,52.19234,-41.36217,87
6,1,25.02,98436.14,5/31/2026,22:5:55.701,14.887695,40.65045,-78.01738,332.20,8,-0.29791,8.38565,-5.26900,-0.13806,-0.04398,0.00367,-69.58492,49.15229,-42.44373,87
6,2,25.02,98436.14,5/31/2026,22:5:55.701,14.893554,40.65045,-78.01738,332.20,8,-0.29791,8.38565,-5.26900,-0.13806,-0.04398,0.00367,-69.58492,49.15229,-42.44373,87
7,2,25.08,98439.92,5/31/2026,22:6:01.378,20.191406,40.65042,-78.01737,332.20,7,-1.22273,9.62992,2.48734,0.22969,-0.44593,0.02566,-84.06898,30.44431,-89.73984,88
8,2,25.10,98433.14,5/31/2026,22:6:07.350,25.728515,40.65042,-78.01735,332.30,9,0.23210,7.94298,-5.66022,0.04520,-0.03665,-0.00122,-79.80122,52.26542,-36.26133,88
9,2,25.10,98436.31,5/31/2026,22:6:08.037,25.875976,40.65042,-78.01734,332.30,9,0.28834,7.96212,-5.67578,0.01100,-0.06109,0.00489,-79.53814,52.00233,-36.71441,88
10,2,25.13,98441.47,5/31/2026,22:6:13.424,31.376953,40.65041,-78.01733,332.30,9,1.82572,9.91107,0.59701,-0.19426,-0.49602,0.99938,-84.63899,37.69366,-66.98334,88
10,3,25.13,98441.47,5/31/2026,22:6:13.424,31.387695,40.65041,-78.01733,332.30,9,1.82572,9.91107,0.59701,-0.19426,-0.49602,0.99938,-84.63899,37.69366,-66.98334,88
11,3,25.11,98440.31,5/31/2026,22:6:18.049,35.518554,40.65041,-78.01723,332.40,8,-0.12921,9.81297,0.79322,0.02443,-0.04032,-0.00367,-76.96580,34.14206,-68.03566,88
11,4,25.11,98440.31,5/31/2026,22:6:18.049,35.528320,40.65041,-78.01723,332.40,8,-0.12921,9.81297,0.79322,0.02443,-0.04032,-0.00367,-76.96580,34.14206,-68.03566,88
12,4,25.12,98438.97,5/31/2026,22:6:20.266,37.114257,40.65042,-78.01724,332.40,8,-0.08734,9.91705,1.11864,0.02321,-0.04154,-0.00489,-77.85735,35.26746,-70.60801,88
12,5,25.12,98438.97,5/31/2026,22:6:20.266,37.124023,40.65042,-78.01724,332.40,8,-0.08734,9.91705,1.11864,0.02321,-0.04154,-0.00489,-77.85735,35.26746,-70.60801,88
13,5,25.13,98438.51,5/31/2026,22:6:21.388,38.594726,40.65042,-78.01724,332.40,8,-0.06341,9.81177,0.73819,0.03054,-0.04032,-0.00733,-77.84274,34.63899,-67.97720,88
13,6,25.13,98438.51,5/31/2026,22:6:21.388,38.605468,40.65042,-78.01724,332.40,8,-0.06341,9.81177,0.73819,0.03054,-0.04032,-0.00733,-77.84274,34.63899,-67.97720,88
14,6,25.13,98420.00,5/31/2026,22:6:23.369,40.671875,40.65042,-78.01724,332.40,7,-0.13280,9.80459,0.69751,0.02566,-0.04154,-0.00244,-73.80882,34.41976,-68.32797,88
14,7,25.13,98420.00,5/31/2026,22:6:23.369,40.681640,40.65042,-78.01724,332.40,7,-0.13280,9.80459,0.69751,0.02566,-0.04154,-0.00244,-73.80882,34.41976,-68.32797,88
15,7,25.14,98440.42,5/31/2026,22:6:26.213,42.891601,40.65040,-78.01725,332.50,7,1.65823,9.08555,1.07797,-0.01710,-0.13561,-0.67806,-81.36510,34.71207,-66.83718,88
15,8,25.14,98440.42,5/31/2026,22:6:26.213,42.901367,40.65040,-78.01725,332.50,7,1.65823,9.08555,1.07797,-0.01710,-0.13561,-0.67806,-81.36510,34.71207,-66.83718,88
16,8,25.15,98441.77,5/31/2026,22:6:27.236,43.929687,40.65040,-78.01726,332.60,7,-0.79202,9.08076,0.38046,0.06475,0.16127,-0.20769,-77.85735,32.97281,-66.82256,88
16,9,25.15,98441.77,5/31/2026,22:6:27.236,43.940429,40.65040,-78.01726,332.60,7,-0.79202,9.08076,0.38046,0.06475,0.16127,-0.20769,-77.85735,32.97281,-66.82256,88
17,9,25.15,98440.48,5/31/2026,22:6:31.110,47.798828,40.65043,-78.01740,332.80,7,-0.15434,9.92663,0.79322,0.04154,-0.04276,0.02688,-71.83572,31.96434,-64.46945,88
18,9,25.16,98441.33,5/31/2026,22:6:32.060,49.189453,40.65044,-78.01743,332.80,8,-0.13280,9.74597,0.58505,0.02810,-0.04032,-0.00122,-71.22186,34.59515,-67.08565,88
19,9,25.16,98440.23,5/31/2026,22:6:33.560,50.250000,40.65045,-78.01746,332.80,8,-0.38883,10.78206,0.27398,0.04887,-0.04765,-0.01955,-70.72494,31.97895,-65.66793,87
19,10,25.16,98440.23,5/31/2026,22:6:33.560,50.260742,40.65045,-78.01746,332.80,8,-0.38883,10.78206,0.27398,0.04887,-0.04765,-0.01955,-70.72494,31.97895,-65.66793,87
20,10,25.16,98440.40,5/31/2026,22:6:35.155,52.289062,40.65047,-78.01744,332.80,8,-0.03230,9.02334,-2.52204,-0.05620,-0.04643,-0.00244,-63.79713,37.41596,-65.79947,87
20,11,25.16,98440.40,5/31/2026,22:6:35.155,52.298828,40.65047,-78.01744,332.80,8,-0.03230,9.02334,-2.52204,-0.05620,-0.04643,-0.00244,-63.79713,37.41596,-65.79947,87
21,11,25.18,98440.01,5/31/2026,22:6:47.260,63.897460,40.65052,-78.01743,332.20,7,-0.24766,9.79263,0.17946,0.00367,-0.15760,-0.03787,-73.91113,32.51973,-63.85559,87
22,11,25.19,98439.70,5/31/2026,22:6:49.157,66.231445,40.65052,-78.01746,332.40,7,-0.11007,9.82373,0.57308,0.02443,-0.04032,-0.00489,-72.88804,33.49897,-65.03946,87
23,11,25.19,98441.77,5/31/2026,22:6:50.397,67.569335,40.65051,-78.01747,332.40,8,-0.07178,9.87877,0.65922,0.02199,-0.04032,-0.00367,-72.90266,31.86203,-63.89944,87
24,11,25.20,98438.59,5/31/2026,22:6:56.652,73.406250,40.65049,-78.01741,333.00,10,-0.13280,9.77109,0.49053,0.02443,-0.04032,-0.00489,-72.80035,33.01666,-64.10406,87
25,11,25.20,98437.01,5/31/2026,22:6:58.057,74.799804,40.65050,-78.01740,333.10,9,-0.12443,9.79382,0.52403,0.02321,-0.04032,-0.00367,-72.33265,33.26513,-64.42561,87
