Events CW1&2,Events CW1&2&3,Temperature[C],Pressure[Pa],Date[MM/DD/YYYY],RTC[H:M:S EST],Timer[S],Latitude,Longitude,Altitude[m],Sats,Accel x,Accel y,Accel z,Gyro x,Gyro y,Gyro z,Mag x,Mag y,Mag z,Battery[]
1,0,24.91,98433.19,5/31/2026,22:5:47.419,6.979448957370307,0.0,0.0,0.0,0,-0.268,7.6008,-6.067,0.00733,-0.04154,-0.00489,-73.64806,54.86699,-37.86904,88
2,0,24.92,98435.75,5/31/2026,22:5:48.265,7.375933957370307,0.0,0.0,0.0,0,-0.27876,7.61277,-6.09213,0.10751,-0.0391,-0.00733,-73.00497,54.06314,-38.64367,88
3,0,24.94,98435.77,5/31/2026,22:5:48.607,8.035113957370308,0.0,0.0,0.0,0,-0.21655,7.73121,-6.01197,0.02932,-0.04276,-0.00489,-73.06343,53.42005,-38.39521,88
4,0,24.95,98438.43,5/31/2026,22:5:48.866,8.293902957370308,0.0,0.0,0.0,0,-0.22493,7.52782,-6.1328,0.10873,-0.0391,-0.00489,-72.71265,54.00468,-37.15288,88
4,1,24.95,98438.43,5/31/2026,22:5:48.866,8.299761957370308,0.0,0.0,0.0,0,-0.22493,7.52782,-6.1328,0.10873,-0.0391,-0.00489,-72.71265,54.00468,-37.15288,88
5,1,25.02,98436.73,5/31/2026,22:5:55.073,13.995073957370309,40.65044,-78.01741,332.2,8,-0.26919,7.71207,-5.9019,-0.03665,-0.04154,-0.00611,-70.54955,52.19234,-41.36217,87
6,1,25.02,98436.14,5/31/2026,22:5:55.701,14.516558957370309,40.65045,-78.01738,332.2,8,-0.29791,8.38565,-5.269,-0.13806,-0.04398,0.00367,-69.58492,49.15229,-42.44373,87
6,2,25.02,98436.14,5/31/2026,22:5:55.701,14.522417957370308,40.65045,-78.01738,332.2,8,-0.29791,8.38565,-5.269,-0.13806,-0.04398,0.00367,-69.58492,49.15229,-42.44373,87
7,2,25.08,98439.92,5/31/2026,22:6:01.378,19.820269957370307,40.65042,-78.01737,332.2,7,-1.22273,9.62992,2.48734,0.22969,-0.44593,0.02566,-84.06898,30.44431,-89.73984,88
8,2,25.1,98433.14,5/31/2026,22:6:07.350,25.357378957370308,40.65042,-78.01735,332.3,9,0.2321,7.94298,-5.66022,0.0452,-0.03665,-0.00122,-79.80122,52.26542,-36.26133,88
